gen,best,avg,worst,std,lin12,lag2,fork_rate,cell_survive,egl1_sens,notch_thresh
37,2.896748580899141,2.7190628857442984,2.0459350645092846,0.20401143173760264,1.753,2.875,3.589,4.248,1.975,0.43
38,2.9459239186897355,2.71787320562129,1.2997255110954542,0.33871650836233064,1.609,3.069,3.78,4.492,2.086,0.47
39,2.95161789404689,2.6842747248072647,1.5732921175924053,0.30389327063241645,1.648,2.65,3.966,4.343,2.096,0.447
40,2.95161789404689,2.684449672262394,1.8956791363984062,0.3026337238048786,1.355,3.09,3.795,4.416,2.342,0.478
41,2.95161789404689,2.7175446654773237,1.9751826531992371,0.2454618468896951,1.324,3.001,3.735,4.559,2.182,0.484
42,3.3204125471919164,2.7472272192749885,1.991341178458534,0.26587398372516985,1.576,2.988,4.008,4.503,2.271,0.474
43,3.3204125471919164,2.8402934910634987,2.4328486397380074,0.15995183596519516,2.127,2.978,3.867,4.777,2.127,0.451
44,3.3236579155781456,2.8121279842073026,1.2061584466137567,0.32431390491284634,2.509,3.131,3.911,4.485,2.302,0.417
45,3.3236579155781456,2.8381868545753575,1.5992204816970348,0.31380616911027304,2.775,3.06,4.245,4.392,2.306,0.42
46,3.3517542027774234,2.83491233776937,1.3416979739716126,0.3656474101643111,2.669,3.391,4.37,4.444,2.143,0.423
47,3.3517542027774234,2.865830948209589,1.9324985857300445,0.3431381322666527,2.823,3.235,4.486,4.483,2.43,0.442
48,3.3517542027774234,2.8311171765579064,1.7181780557631479,0.35016666944925406,2.941,3.325,4.654,4.476,2.182,0.439
49,3.4551741350168763,2.883095235665641,2.0920135285902113,0.32660841957917136,2.97,3.496,4.559,4.78,2.216,0.414
50,4.16848880946688,2.969595718291666,1.777879705485332,0.38757385819543244,2.932,3.449,4.619,5.096,2.22,0.43
51,4.249179850271546,3.093562779657252,1.8896702161795644,0.42883634620152283,3.1,3.479,4.422,4.868,2.166,0.416
52,4.3203283981343175,3.1066066350239963,1.2183560029636225,0.6327275178748716,3.211,3.884,4.356,5.166,2.079,0.458
53,4.3203283981343175,3.1199037800799854,0.6942375562467455,0.7835810669537127,3.055,4.163,4.188,4.837,2.185,0.484
54,4.3203283981343175,2.999966519369075,1.8472355268480176,0.7462799708042669,3.499,3.666,4.098,5.205,2.299,0.472
55,4.3203283981343175,3.1669962199714776,0.9617297843942763,0.8653570117301058,3.342,3.307,3.974,5.12,2.551,0.548
56,4.320543128723172,3.1743403837996724,1.5922278441132023,0.7972822219490613,3.604,3.38,3.834,5.39,2.293,0.487
57,4.320543128723172,3.2020648850072604,0.8509476903954267,0.7973933730770647,3.486,3.416,3.365,4.508,2.164,0.448
58,4.320543128723172,3.1236190739608163,0.6328989633102768,0.8013725894120566,3.703,3.313,3.655,4.678,2.495,0.454
59,4.34161373882844,3.2564823115304167,1.7319816769985494,0.717447748155494,3.618,3.298,3.468,5.108,2.246,0.473
60,4.34161373882844,3.320095499218979,0.8776859858660286,0.8199728437586264,3.667,3.188,3.268,5.602,2.266,0.454
61,4.34161373882844,3.509069878321705,2.21091713573074,0.6207338689712613,3.319,3.391,3.084,5.809,2.385,0.48
62,4.3416246083066286,3.4659745435879716,1.5291852376055997,0.8578966632690437,3.616,3.432,2.923,6.401,2.398,0.475
63,4.847448790563053,3.4559891720126803,2.270418685752341,0.6767565956906391,3.49,3.483,2.967,6.871,2.667,0.484
64,4.850234539968204,3.6827968289162087,2.036495342743579,0.7584993405195759,3.395,3.451,2.849,7.047,2.824,0.475
65,4.992289053906406,3.707909947696838,1.3732549570671286,0.8943844804345347,3.469,3.589,2.888,7.364,3.646,0.478
66,4.996932274547708,3.8452659483758027,0.7158809088227729,0.9822340463732894,3.496,3.53,2.829,8.397,5.027,0.456
67,4.996932274547708,3.9951160069231024,2.198553383384285,0.7792870605408103,3.411,3.527,2.99,9.125,5.62,0.476
68,4.996932274547708,4.009517327993936,1.9296277479298112,0.841748717257936,3.551,3.59,3.108,9.38,6.687,0.462
69,4.996932274547708,4.156505236983862,1.6837012248091248,0.9114552376819541,3.493,3.331,2.809,9.2,7.324,0.477
70,4.997055940098467,4.434254637795779,2.7241577489230075,0.6480480925776703,3.515,3.462,2.73,9.853,8.303,0.479
71,5.166037586302027,4.325799451138605,2.942289053906406,0.6700306831338152,3.369,3.561,2.804,9.875,8.31,0.479
72,5.166037586302027,4.2461447494650635,2.1996357556616637,0.7052959970349885,3.403,3.372,2.738,9.874,8.568,0.483
73,5.166037586302027,4.0847275440540205,1.6676042007901966,0.7440097155613111,3.438,3.304,2.868,9.683,8.486,0.516
74,5.168940018790577,4.0123410419802195,2.1306637174853487,0.8072069598560624,3.478,3.442,2.908,9.901,8.591,0.514
75,5.168940018790577,4.092856642894385,1.9025783702034502,0.8293900908315658,3.432,3.192,2.931,9.874,8.816,0.516
76,5.168940018790577,4.145822978877506,2.8346898654403927,0.7109191451006395,3.389,3.301,2.868,9.944,8.981,0.511
77,5.172794453426392,4.172565213755253,0.0,0.9958193108036169,3.458,3.258,2.842,9.501,8.967,0.479
78,5.172794453426392,4.136571528848203,0.34936047096920664,0.9766346375090303,3.441,3.505,2.86,9.429,9.287,0.493
79,5.172794453426392,4.187025792488196,1.0470991838717931,0.8348348105585793,3.487,3.396,2.948,9.581,9.416,0.467
80,5.172794453426392,4.123069777243448,2.0729519693622187,0.7708683331374039,3.618,3.579,2.933,9.865,9.385,0.466
81,5.174574951589122,4.145019264325798,0.0,0.9343586782738188,3.572,3.648,2.775,9.656,9.418,0.457
82,5.175253615126385,4.026965657654679,0.0,1.050596805788659,3.482,3.688,2.803,9.497,9.702,0.473
83,5.175253615126385,3.9923406528845016,1.2622877657647518,0.9341942354778524,3.469,3.798,2.81,9.609,9.672,0.457
84,5.175253615126385,4.133775345918697,2.00350115918876,0.9044571932071211,3.658,3.719,2.876,9.733,9.831,0.474
85,5.175253615126385,4.2417866345240425,1.9354823662716116,0.882725063060928,3.705,3.604,2.938,9.722,9.686,0.497
86,5.175253615126385,4.2585624513749005,0.0,0.9837170418452517,3.623,3.652,2.761,9.714,9.826,0.519
