gen,best,avg,worst,std,lin12,lag2,fork_rate,cell_survive,egl1_sens,notch_thresh
19,2.4897815089200352,2.423006934328591,1.9633609411493775,0.08082747150495857,0.983,1.147,2.922,3.274,1.431,0.526
20,2.505873926925215,2.4240423509034414,2.015059528439042,0.08116959528888623,0.993,1.172,2.936,3.274,1.48,0.532
21,2.58700721823833,2.424417296463888,1.809050499961291,0.14345142524446286,1.066,1.205,3.045,3.174,1.561,0.523
22,2.6364982648942408,2.493514854025299,2.3903031216152018,0.055085472517998314,1.062,1.353,2.912,3.203,1.564,0.501
23,2.658273257553034,2.4911432329568126,1.7953284355794445,0.16967594993259036,1.128,1.399,2.888,3.285,1.586,0.508
24,2.6859123587355156,2.544780060521839,1.9100137991804256,0.11301607753956543,1.243,1.448,3.08,3.347,1.598,0.515
25,2.743050468610339,2.5654638392622844,1.8767746073305425,0.1554304138165502,1.35,1.579,2.953,3.399,1.546,0.496
26,2.743050468610339,2.602357380583779,2.051407740860282,0.12627850039254207,1.403,1.62,2.944,3.46,1.526,0.535
27,2.743050468610339,2.5771182303481317,1.5909566304119716,0.224325984297266,1.842,1.591,2.95,3.432,1.522,0.497
28,2.743050468610339,2.59603864570079,1.8662808105146338,0.19726964282381063,2.089,1.567,3.082,3.418,1.517,0.475
29,2.756212879105401,2.6432431032737043,1.9659754216714733,0.1812377995425662,1.723,1.793,3.002,3.481,1.68,0.49
30,2.807229750630139,2.666541004882656,2.0430879723507887,0.15636830678491215,1.376,2.007,3.094,3.558,1.917,0.503
31,2.873527079879325,2.7290029394531685,2.193655403696658,0.09037449562246982,1.492,1.827,2.908,3.751,2.007,0.522
32,2.873527079879325,2.7114693800802825,1.3866637903797017,0.24077459825368464,1.584,1.803,2.911,4.182,2.118,0.533
33,2.8791896100149805,2.7405827267290395,1.8665303830702729,0.172360140346872,1.573,1.814,2.947,4.339,2.257,0.551
34,2.8791896100149805,2.744972941322012,1.9691306074004609,0.1959957129905682,1.791,1.617,3.165,4.792,2.205,0.488
