gen,best,avg,worst,std,lin12,lag2,fork_rate,cell_survive,egl1_sens,notch_thresh
54,2.9348702702228873,2.7024984642792074,1.4200837456886146,0.32420081166424536,0.078,0.369,3.641,4.056,1.383,0.577
55,2.9390233511613784,2.7459792345947744,1.5729651128317548,0.28292604974198743,0.09,0.268,3.454,4.145,1.433,0.585
56,2.9470630230217107,2.6820870240793915,1.4297793551363294,0.37839412210160644,0.096,0.325,3.405,4.076,1.374,0.591
57,2.9470630230217107,2.6833505362537484,1.1446425307295458,0.4086639561454873,0.106,0.31,3.326,4.293,1.441,0.605
58,2.9470630230217107,2.5946498060075487,0.34371341756638785,0.48843975850391,0.106,0.318,3.625,4.111,1.402,0.619
59,2.948407696591767,2.654769749032658,0.7598402420324788,0.4621687274649419,0.105,0.309,3.672,4.0,1.479,0.593
60,2.948407696591767,2.6356360076618466,1.01403846093394,0.4539735180255937,0.113,0.317,3.488,4.094,1.407,0.59
61,2.9507527945361933,2.572900482651893,0.7408889345387868,0.5078857261606787,0.134,0.276,3.613,4.099,1.473,0.593
62,2.9535516459989313,2.7114881902961416,1.325005772069564,0.35954621860099056,0.125,0.26,3.664,3.964,1.527,0.553
63,2.9535516459989313,2.713467842243814,1.8420978353301989,0.28431564383716873,0.141,0.266,3.436,3.76,1.532,0.553
64,2.9558397238826526,2.695660894808355,1.8276468280572544,0.3264356793078879,0.127,0.242,3.411,3.854,1.59,0.577
65,2.9571608469524624,2.701315256884336,1.9074618729390522,0.3232339203870848,0.129,0.241,3.414,3.907,1.537,0.55
66,2.9571608469524624,2.6700345957747142,0.3769095692177964,0.4657929615530726,0.132,0.241,3.736,3.97,1.518,0.564
67,2.9596198584307474,2.7878836396516435,1.880701026837529,0.26594923829456146,0.134,0.233,3.654,3.956,1.482,0.551
68,2.9596198584307474,2.7442538216471917,1.629493756034522,0.30410416726419076,0.126,0.211,3.471,4.197,1.462,0.552
69,2.9596198584307474,2.7462215143469764,1.8313862936958971,0.3283497405185242,0.134,0.196,3.748,4.067,1.418,0.552
