gen,fork_accuracy_mean,fork_accuracy_median,fork_accuracy_std,fork_rate_mean,fork_rate_median,fork_rate_std,lag2_expr_rate_mean,lag2_expr_rate_median,lag2_expr_rate_std,lateral_inhibition_strength_mean,lateral_inhibition_strength_median,lateral_inhibition_strength_std,lin12_expr_rate_mean,lin12_expr_rate_median,lin12_expr_rate_std,memory_stability_mean,memory_stability_median,memory_stability_std,notch_sensitivity_mean,notch_sensitivity_median,notch_sensitivity_std,notch_threshold_mean,notch_threshold_median,notch_threshold_std,timer_speed_mean,timer_speed_median,timer_speed_std
95,0.0308,0.0319,0.0117,0.2332,0.1373,0.3152,0.9678,0.9621,0.3861,0.9779,1.0348,0.1696,0.8535,1.2322,0.581,0.2623,0.1183,0.3158,0.9161,0.9498,0.4608,0.2908,0.2569,0.2373,0.685,0.386,0.5935
100,0.0243,0.0289,0.0147,0.2658,0.1645,0.2301,0.967,0.9149,0.4609,0.9768,0.924,0.3754,0.9797,1.1712,0.8262,0.3701,0.1237,0.6308,0.8934,0.9498,0.1604,0.2814,0.2568,0.338,1.2972,1.0277,1.5587
105,0.0424,0.0319,0.0279,0.4068,0.1353,0.3561,0.9735,0.9011,0.3661,0.9166,0.8993,0.3485,0.5843,0.6885,0.6688,0.3032,0.0941,0.5892,0.9726,1.0285,0.3619,0.1567,0.0771,0.1297,1.8391,1.0716,1.617
110,0.0237,0.0319,0.0109,0.4917,0.2421,0.4613,1.028,0.9011,0.4891,0.9324,0.9218,0.4172,0.8135,0.9252,0.516,0.2859,0.0941,0.5656,1.006,0.9288,0.4642,0.1305,0.0771,0.1194,1.6136,1.1154,1.532
115,0.0201,0.0119,0.0119,0.8644,0.717,0.8869,1.0937,0.9011,0.4708,0.9758,0.9798,0.4225,0.7127,0.9252,0.5524,0.246,0.102,0.4082,0.8913,1.0141,0.7013,0.1614,0.0726,0.2718,1.1995,1.0018,1.3396
120,0.0251,0.0136,0.024,1.2487,0.825,1.5198,0.9335,0.975,0.3039,0.9591,0.9798,0.1316,0.7281,1.0158,0.4896,0.4235,0.2276,0.6508,0.8366,1.006,0.4151,0.0448,0.0475,0.0303,0.1837,0.0839,0.4494
125,0.0272,0.0137,0.0231,0.7021,0.6943,0.6486,1.0658,1.0774,0.2737,0.9396,0.9798,0.3619,0.7447,0.8517,0.4463,0.2496,0.2986,0.0938,0.8287,0.9114,0.5569,0.0602,0.0715,0.0365,0.1361,0.0839,0.4752
130,0.03,0.0171,0.0535,0.742,0.815,0.8956,1.0404,1.0269,0.4589,0.8661,0.9105,0.1198,0.6355,0.8501,0.5815,0.3341,0.2986,0.242,0.7776,1.0285,0.5328,0.0763,0.0718,0.0499,0.0815,0.0887,0.0513
135,0.0181,0.0144,0.0081,0.3687,0.0102,0.5727,0.8868,0.8198,0.249,0.9408,0.9004,0.4213,0.582,0.9602,0.5254,0.4128,0.2981,0.3302,0.8205,0.9493,0.331,0.0846,0.0715,0.1403,0.1158,0.0977,0.0705
140,0.0182,0.0144,0.0073,0.0821,0.01,0.2023,0.883,0.8198,0.1632,0.9378,0.9138,0.3847,0.579,0.4034,0.6334,0.3513,0.2976,0.3241,0.9175,0.9493,0.4063,0.0965,0.079,0.0691,0.1229,0.0977,0.0943
145,0.0274,0.0205,0.0197,0.018,0.0195,0.0077,0.8349,0.7924,0.1823,0.9204,0.7919,0.4763,0.4775,0.1014,0.4776,0.1957,0.2648,0.1146,0.7683,0.9022,0.3407,0.0724,0.073,0.052,0.0753,0.0264,0.1266
150,0.0281,0.0205,0.0185,0.0195,0.0238,0.0115,0.831,0.7924,0.1375,0.7922,0.8438,0.361,0.4708,0.0779,0.5983,0.1933,0.2535,0.1155,0.9542,0.9853,0.4989,0.057,0.0469,0.056,0.0225,0.01,0.0284
155,0.0489,0.0403,0.0412,0.0177,0.0203,0.0069,0.8913,0.7924,0.3599,1.08,1.007,0.4987,0.7883,1.0035,0.4272,0.3374,0.3108,0.16,1.0017,0.9853,0.4676,0.0602,0.0717,0.0585,0.0119,0.01,0.004
160,0.0678,0.0548,0.0388,0.0163,0.0111,0.0074,0.7355,0.7924,0.3509,1.0397,1.007,0.466,0.7879,0.9993,0.7529,0.3077,0.31,0.2686,0.8949,0.9853,0.444,0.0493,0.0388,0.0489,0.0111,0.01,0.0058
165,0.0919,0.1024,0.0817,0.0147,0.0109,0.01,0.6356,0.7924,0.3619,0.9827,1.007,0.1894,0.8182,1.02,0.5674,0.3246,0.3392,0.1722,0.9912,0.9853,0.2708,0.0747,0.0699,0.0822,0.0214,0.0113,0.023
170,0.0671,0.0778,0.0518,0.0127,0.0107,0.0051,0.8898,0.7924,0.6619,0.9099,1.007,0.3069,0.851,1.0355,0.5029,0.3146,0.2623,0.2626,0.8653,0.9853,0.333,0.0459,0.021,0.074,0.0207,0.0122,0.0184
175,0.0846,0.0832,0.0679,0.0153,0.0114,0.0079,0.9768,1.0221,0.541,1.0151,1.007,0.1698,0.7071,1.0217,0.5148,0.2371,0.1526,0.2559,0.7772,0.979,0.3378,0.025,0.0116,0.0312,0.025,0.0229,0.0147
180,0.1116,0.0788,0.1104,0.0116,0.01,0.004,1.0944,1.0504,0.3271,0.946,0.9772,0.5184,0.714,0.9146,0.5439,0.2367,0.1589,0.2357,0.9218,0.9853,0.5472,0.0189,0.0104,0.022,0.0361,0.024,0.0521
185,0.0454,0.0317,0.0309,0.0118,0.01,0.0045,1.0652,1.07,0.3769,0.9148,0.9772,0.2434,0.5499,0.901,0.455,0.351,0.2696,0.3034,0.9979,0.9853,0.4539,0.0125,0.01,0.006,0.0529,0.024,0.0664
190,0.0491,0.0357,0.0365,0.0125,0.0114,0.0067,1.0872,1.0746,0.3715,0.9543,1.0333,0.1571,0.5769,0.503,0.6715,0.3416,0.2249,0.2737,0.8886,0.9853,0.5513,0.0108,0.01,0.0029,0.0641,0.0208,0.0928
195,0.0737,0.0456,0.0513,0.0192,0.0116,0.0151,0.9843,0.9285,0.317,0.8759,1.0434,0.3408,0.604,0.9146,0.4227,0.5605,0.7257,0.3027,0.9168,0.9853,0.2052,0.0117,0.01,0.0047,0.032,0.0205,0.0439
200,0.0776,0.0456,0.0783,0.0362,0.026,0.0356,1.0125,0.9285,0.37,0.7862,1.0434,0.6771,0.6473,0.8982,0.4084,0.672,0.4702,0.7529,0.9326,0.9339,0.1215,0.0146,0.0116,0.0076,0.014,0.01,0.0052
